steam_app_id,steam_release_context,context_note
39210,later_steam_release,Launched Aug 2013 outside Steam; Steam release Feb 2014
1222670,later_steam_release,Launched 2014 on Origin; Steam release Jun 2020
1172470,later_steam_release,Launched Feb 2019 on Origin; Steam release Nov 2020
2357570,later_steam_release,Launched 2016 on Battle.net; Steam release Aug 2023
3932890,later_steam_release,Playable on own launcher since 2017 beta; Steam release Nov 2025
3240220,rerelease,Enhanced re-release as separate app of GTA V PC (2015)
489830,rerelease,Special Edition remaster as separate app of Skyrim (2011)
